DEBUG:PIL.PngImagePlugin:STREAM b'IHDR' 16 13
DEBUG:PIL.PngImagePlugin:STREAM b'pHYs' 41 9
DEBUG:PIL.PngImagePlugin:STREAM b'iTXt' 62 1666
DEBUG:PIL.PngImagePlugin:STREAM b'IDAT' 1740 71177
INFO:root:Pixel at (0, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (1, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (2, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (3, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (4, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (5, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (6, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (7, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (8, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (9, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (10, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (11, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (12, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (13, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (14, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (15, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (16, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (17, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (18, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (19, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (20, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (21, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (22, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (23, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (24, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (25, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (26, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (27, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (28, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (29, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (30, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (31, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (32, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (33, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (34, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (35, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (36, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (37, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (38, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (39, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (40, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (41, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (42, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (43, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (44, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (45, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (46, 0) - R: 240, G: 0, B: 255, A: 255
